Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count
rsu[0],748,55,19.434628975265017,280
node[36],216,53,24.537037037037038,552
node[56],119,39,32.773109243697476,607
node[18],224,39,17.410714285714285,357
node[83],149,48,32.21476510067114,366
node[55],387,156,40.310077519379846,424
node[21],641,183,28.549141965678626,187
node[50],233,69,29.613733905579398,325
node[7],68,23,33.82352941176471,629
node[75],199,43,21.608040201005025,53
node[62],146,32,21.91780821917808,476
node[95],301,28,9.30232558139535,362
node[127],164,45,27.439024390243905,539
node[100],81,13,16.049382716049383,379
node[104],415,90,21.686746987951807,563
node[143],107,7,6.5420560747663545,147
node[32],91,12,13.186813186813188,182
node[67],397,85,21.41057934508816,347
node[157],78,14,17.94871794871795,178
node[152],62,4,6.451612903225806,214
node[25],147,11,7.482993197278912,289
node[153],40,21,52.5,293
node[0],283,55,19.434628975265017,446
node[136],43,9,20.930232558139537,390
node[33],50,17,34.0,608
node[130],435,75,17.24137931034483,372
node[191],145,36,24.82758620689655,349
node[109],40,0,0,387
node[68],46,16,34.78260869565217,429
node[4],42,19,45.23809523809524,509
node[44],33,10,30.303030303030305,629
node[29],35,12,34.285714285714285,284
node[103],10,4,40.0,179
node[54],14,0,0,174
node[148],88,24,27.27272727272727,272
node[170],169,96,56.80473372781065,400
node[35],93,20,21.50537634408602,457
node[207],45,0,0,29
node[113],80,1,1.25,241
node[187],63,4,6.349206349206349,314
node[65],87,28,32.18390804597701,511
node[181],8,0,0,195
node[30],13,5,38.46153846153847,158

Total Transmit Count,6835
Total Failed Count,1642
Average Node Failure Rate (%),25.463920394624214
RSU Failure Rate (%),2.8675932699341624
Overall Failure Rate (%),24.02340892465252
