Density,Speed,Node,Transmit_기존,Failed_기존,FailureRate_기존,Transmit_제안,Failed_제안,FailureRate_제안,
저밀도,중속,20,6365,718,11.28043991,8086,1511,18.68661885,-7.406178942
저밀도,중속,21,7614,1592,20.90885211,8043,1516,18.8486883,2.060163814
저밀도,중속,22,7141,871,12.19717126,8195,1177,14.36241611,-2.165244843
저밀도,중속,24,8426,2312,27.43887966,7674,1772,23.09095648,4.347923182
저밀도,중속,29,12957,3275,25.27591263,9532,2495,26.17498951,-0.899076875
저밀도,중속,33,4493,186,4.13977298,4130,174,4.213075061,-0.07330208
저밀도,저속,17,3543,76,2.145074795,3510,107,3.048433048,-0.903358253
저밀도,저속,18,3171,82,2.585935036,3187,94,2.949482272,-0.363547235
저밀도,저속,20,4651,144,3.096108364,4247,306,7.205085943,-4.108977579
저밀도,저속,21,11451,3204,27.98008908,13027,3203,24.58739541,3.392693666
저밀도,저속,22,11377,2025,17.7990683,8729,937,10.73433383,7.064734466
저밀도,저속,24,5002,125,2.4990004,4799,380,7.918316316,-5.419315916
저밀도,저속,25,6309,307,4.866064353,7077,506,7.149922283,-2.283857931
저밀도,저속,27,14758,2783,18.85756878,15412,3922,25.44770309,-6.590134312
저밀도,저속,7,0,0,0,1436,36,2.506963788,-2.506963788
저밀도,저속,31,0,0,0,6935,466,6.719538572,-6.719538572
,,,,,,,,,-0.642890033
