Mode,Density,Speed,Node_ID,Failed_Node,Failure_Count,Transmit_Count,Failure_Rate
기존,고밀도,고속,6,node[188],7,4039,0.17331022530329288
기존,고밀도,고속,6,node[303],13,4039,0.3218618469918296
기존,고밀도,고속,6,node[263],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[265],27,4039,0.6684822975984155
기존,고밀도,고속,6,node[256],6,4039,0.14855162168853675
기존,고밀도,고속,6,node[169],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[33],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[317],16,4039,0.39613765783609806
기존,고밀도,고속,6,node[331],5,4039,0.12379301807378064
기존,고밀도,고속,6,node[282],22,4039,0.5446892795246348
기존,고밀도,고속,6,node[398],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[377],11,4039,0.2723446397623174
기존,고밀도,고속,6,node[39],8,4039,0.19806882891804903
기존,고밀도,고속,7,node[7],121,5812,2.081899518238128
기존,고밀도,고속,7,node[95],12,5812,0.20646937370956642
기존,고밀도,고속,7,rsu[0],149,5812,2.563661390227116
기존,고밀도,고속,7,node[35],33,5812,0.5677907777013077
기존,고밀도,고속,7,node[265],19,5812,0.3269098417068135
기존,고밀도,고속,7,node[379],19,5812,0.3269098417068135
기존,고밀도,고속,7,node[281],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[39],2,5812,0.034411562284927734
기존,고밀도,고속,7,node[248],4,5812,0.06882312456985547
기존,고밀도,고속,7,node[282],36,5812,0.6194081211286993
기존,고밀도,고속,7,node[340],54,5812,0.9291121816930488
기존,고밀도,고속,7,node[242],10,5812,0.1720578114246387
기존,고밀도,고속,7,node[68],1,5812,0.017205781142463867
기존,고밀도,고속,7,node[6],21,5812,0.36132140399174123
기존,고밀도,고속,7,node[4],26,5812,0.4473503097040606
기존,고밀도,고속,7,node[231],1,5812,0.017205781142463867
기존,고밀도,고속,7,node[406],20,5812,0.3441156228492774
기존,고밀도,고속,7,node[360],117,5812,2.0130763936682725
기존,고밀도,고속,7,node[378],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[192],9,5812,0.1548520302821748
기존,고밀도,고속,7,node[191],16,5812,0.27529249827942187
기존,고밀도,고속,7,node[110],11,5812,0.18926359256710254
기존,고밀도,고속,7,node[347],16,5812,0.27529249827942187
기존,고밀도,고속,7,node[374],38,5812,0.653819683413627
기존,고밀도,고속,7,node[156],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[268],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[327],2,5812,0.034411562284927734
기존,고밀도,고속,7,node[101],8,5812,0.13764624913971094
기존,고밀도,고속,7,node[202],1,5812,0.017205781142463867
기존,고밀도,고속,9,rsu[0],203,9733,2.085687866022809
기존,고밀도,고속,9,node[56],49,9733,0.5034418986951608
기존,고밀도,고속,9,node[130],8,9733,0.08219459570533237
기존,고밀도,고속,9,node[231],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[169],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[50],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[163],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[18],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[282],66,9733,0.6781054145689921
기존,고밀도,고속,9,node[331],36,9733,0.3698756806739957
기존,고밀도,고속,9,node[7],58,9733,0.5959108188636597
