Mode,Density,Speed,Node_ID,RERR_Count,Transmit_Count,RERR_Rate
제안,저밀도,중속,21,65,8043,0.8081561606365784
제안,저밀도,중속,22,41,8195,0.5003050640634533
제안,저밀도,중속,24,82,7674,1.0685431326557204
제안,저밀도,중속,25,68,9072,0.7495590828924161
제안,저밀도,중속,26,206,10980,1.8761384335154827
제안,저밀도,저속,6,60,10314,0.5817335660267597
제안,저밀도,저속,17,4,3510,0.11396011396011395
제안,저밀도,저속,18,6,3187,0.1882648258550361
제안,저밀도,저속,19,67,11445,0.5854084753167321
제안,저밀도,저속,21,112,13027,0.8597528210639441
제안,저밀도,저속,22,34,8729,0.38950624355596286
제안,저밀도,저속,24,8,4799,0.16670139612419255
제안,저밀도,저속,25,15,7077,0.21195421788893598
제안,저밀도,저속,26,32,8079,0.39608862482980567
