destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.1.104, metric = 3, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.1.104, metric = 3, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.4.233, prefixLength = 32, nextHop = 10.0.4.233, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.10.215, prefixLength = 32, nextHop = 10.0.10.215, metric = 1, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.8.175, metric = 3, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.8.175, metric = 3, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.8.175, metric = 3, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.8.175, metric = 3, interface = wlan0
destination = 10.0.8.175, prefixLength = 32, nextHop = 10.0.8.175, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.8.175, metric = 3, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.9.195, metric = 4, interface = wlan0
destination = 10.0.9.195, prefixLength = 32, nextHop = 10.0.9.195, metric = 1, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.7.17, metric = 4, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.7.17, metric = 4, interface = wlan0
destination = 10.0.7.17, prefixLength = 32, nextHop = 10.0.7.17, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.7.17, metric = 4, interface = wlan0
destination = 10.0.7.224, prefixLength = 32, nextHop = 10.0.7.224, metric = 1, interface = wlan0
destination = 10.0.6.204, prefixLength = 32, nextHop = 10.0.6.204, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.6.204, metric = 3, interface = wlan0
destination = 10.0.6.204, prefixLength = 32, nextHop = 10.0.6.204, metric = 1, interface = wlan0
