Density,Speed,Node,8131.681818,Failed_기존,FailureRate_기존,LinkBreak_기존,RERR_기존,Collision_기존,8832.659091,Failed_제안,FailureRate_제안,LinkBreak_제안,RERR_제안,Collision_제안
저밀도,고속,24,7510,1721,22.91611185,60,108,2060,10165,2737,26.92572553,71,101,3070
저밀도,고속,25,9157,2374,25.92552146,57,101,2648,10158,2679,26.37330183,83,151,3013
저밀도,고속,26,10988,3594,32.70840917,147,228,4280,24073,7644,31.75341669,283,477,9167
저밀도,중속,6,6594,579,8.780709736,9,18,645,6973,940,13.4805679,26,44,1001
저밀도,중속,7,2050,44,2.146341463,1,1,44,2026,25,1.233958539,1,1,25
저밀도,중속,17,7070,1456,20.59405941,35,64,1672,6721,1236,18.39012052,30,74,1324
저밀도,중속,18,4636,302,6.514236411,7,11,307,4628,314,6.784788245,9,22,355
저밀도,중속,19,12188,3702,30.3741385,115,220,4502,11949,2655,22.21943259,55,115,2939
저밀도,중속,21,7405,1389,18.75759622,40,53,1517,8043,1516,18.8486883,30,65,1645
저밀도,중속,22,6706,600,8.947211452,8,13,635,8195,1177,14.36241611,26,41,1267
저밀도,중속,24,6619,1211,18.29581508,33,73,1390,7674,1772,23.09095648,80,82,2019
저밀도,중속,25,7975,1367,17.14106583,26,48,1458,9072,1791,19.74206349,47,68,1931
저밀도,중속,26,12622,3939,31.20741562,139,249,4638,10980,3026,27.55919854,103,206,3600
저밀도,저속,6,10283,1419,13.79947486,28,39,1575,10314,1810,17.54896258,36,60,1930
저밀도,저속,17,3037,109,3.589068159,4,5,140,3510,107,3.048433048,4,4,120
저밀도,저속,18,3266,160,4.898958971,5,8,172,3187,94,2.949482272,4,6,104
저밀도,저속,19,11788,2176,18.45945029,55,87,2639,11445,2019,17.64089122,32,67,2281
저밀도,저속,21,12055,3486,28.91746163,83,173,3904,13027,3203,24.58739541,114,112,3524
저밀도,저속,22,9268,965,10.41217091,18,30,1005,8729,937,10.73433383,19,34,1040
저밀도,저속,24,4434,150,3.382949932,3,4,158,4799,380,7.918316316,21,8,401
저밀도,저속,25,7447,695,9.332617161,14,28,789,7077,506,7.149922283,11,15,540
저밀도,저속,26,7949,1760,22.14114983,52,87,1935,8079,1026,12.69959153,15,32,1070
