Mode,Density,Speed,Node_ID,Collided_Node,Collision_Count,Transmit_Count,Collision_Rate
기존,고밀도,고속,6,node[175],28,4039,0.6932409012131715
기존,고밀도,고속,6,node[16],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[56],7,4039,0.17331022530329288
기존,고밀도,고속,6,rsu[0],60,4039,1.4855162168853677
기존,고밀도,고속,6,node[179],29,4039,0.7179995048279277
기존,고밀도,고속,6,node[248],5,4039,0.12379301807378064
기존,고밀도,고속,6,node[237],2,4039,0.04951720722951226
기존,고밀도,고속,6,node[95],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[120],7,4039,0.17331022530329288
기존,고밀도,고속,6,node[108],17,4039,0.4208962614508541
기존,고밀도,고속,6,node[188],7,4039,0.17331022530329288
기존,고밀도,고속,6,node[303],16,4039,0.39613765783609806
기존,고밀도,고속,6,node[263],9,4039,0.22282743253280515
기존,고밀도,고속,6,node[265],27,4039,0.6684822975984155
기존,고밀도,고속,6,node[256],6,4039,0.14855162168853675
기존,고밀도,고속,6,node[169],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[33],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[317],17,4039,0.4208962614508541
기존,고밀도,고속,6,node[331],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[282],23,4039,0.569447883139391
기존,고밀도,고속,6,node[398],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[377],11,4039,0.2723446397623174
기존,고밀도,고속,6,node[39],8,4039,0.19806882891804903
기존,고밀도,고속,6,node[379],1,4039,0.02475860361475613
기존,고밀도,고속,6,node[7],3,4039,0.07427581084426838
기존,고밀도,고속,6,node[281],2,4039,0.04951720722951226
기존,고밀도,고속,7,node[7],136,5812,2.3399862353750858
기존,고밀도,고속,7,node[95],14,5812,0.24088093599449414
기존,고밀도,고속,7,rsu[0],149,5812,2.563661390227116
기존,고밀도,고속,7,node[35],35,5812,0.6022023399862354
기존,고밀도,고속,7,node[265],23,5812,0.39573296627666893
기존,고밀도,고속,7,node[379],24,5812,0.41293874741913283
기존,고밀도,고속,7,node[68],5,5812,0.08602890571231935
기존,고밀도,고속,7,node[212],3,5812,0.051617343427391604
기존,고밀도,고속,7,node[130],3,5812,0.051617343427391604
기존,고밀도,고속,7,node[281],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[39],2,5812,0.034411562284927734
기존,고밀도,고속,7,node[248],11,5812,0.18926359256710254
기존,고밀도,고속,7,node[282],38,5812,0.653819683413627
기존,고밀도,고속,7,node[340],54,5812,0.9291121816930488
기존,고밀도,고속,7,node[242],10,5812,0.1720578114246387
기존,고밀도,고속,7,node[6],21,5812,0.36132140399174123
기존,고밀도,고속,7,node[4],26,5812,0.4473503097040606
기존,고밀도,고속,7,node[231],3,5812,0.051617343427391604
기존,고밀도,고속,7,node[406],20,5812,0.3441156228492774
기존,고밀도,고속,7,node[360],121,5812,2.081899518238128
기존,고밀도,고속,7,node[378],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[192],9,5812,0.1548520302821748
기존,고밀도,고속,7,node[191],18,5812,0.3097040605643496
기존,고밀도,고속,7,node[110],11,5812,0.18926359256710254
기존,고밀도,고속,7,node[347],16,5812,0.27529249827942187
기존,고밀도,고속,7,node[374],38,5812,0.653819683413627
기존,고밀도,고속,7,node[156],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[268],14,5812,0.24088093599449414
기존,고밀도,고속,7,node[327],2,5812,0.034411562284927734
기존,고밀도,고속,7,node[101],8,5812,0.13764624913971094
기존,고밀도,고속,7,node[202],1,5812,0.017205781142463867
기존,고밀도,고속,9,node[84],55,9733,0.5650878454741601
기존,고밀도,고속,9,node[135],30,9733,0.3082297338949964
기존,고밀도,고속,9,node[100],61,9733,0.6267337922531593
기존,고밀도,고속,9,node[209],1,9733,0.010274324463166546
기존,고밀도,고속,9,rsu[0],220,9733,2.2603513818966405
기존,고밀도,고속,9,node[56],60,9733,0.6164594677899928
기존,고밀도,고속,9,node[130],9,9733,0.09246892016849892
기존,고밀도,고속,9,node[231],39,9733,0.4006986540634953
기존,고밀도,고속,9,node[169],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[50],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[163],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[18],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[9],126,9733,1.294564882358985
기존,고밀도,고속,9,node[263],13,9733,0.1335662180211651
기존,고밀도,고속,9,node[248],61,9733,0.6267337922531593
기존,고밀도,고속,9,node[337],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[89],69,9733,0.7089283879584917
기존,고밀도,고속,9,node[166],71,9733,0.7294770368848248
기존,고밀도,고속,9,node[196],25,9733,0.25685811157916366
기존,고밀도,고속,9,node[91],114,9733,1.1712729888009863
기존,고밀도,고속,9,node[178],63,9733,0.6472824411794925
기존,고밀도,고속,9,node[42],33,9733,0.33905270728449605
기존,고밀도,고속,9,node[85],49,9733,0.5034418986951608
기존,고밀도,고속,9,node[413],48,9733,0.49316757423199425
기존,고밀도,고속,9,node[111],24,9733,0.24658378711599713
기존,고밀도,고속,9,node[279],81,9733,0.8322202815164903
기존,고밀도,고속,9,node[36],30,9733,0.3082297338949964
