Node,Destination,StartTime,EndTime,Duration
node[0],10.0.109.56,89.970882189596,89.970882189596,0.0
node[0],10.0.67.251,80.513313071298,80.517976797871,0.004663726572999849
node[100],10.0.19.50,52.613314518958,52.665606279339,0.052291760381002916
node[101],10.0.100.83,78.160505685406,78.160505685406,0.0
node[101],10.0.102.192,80.51226230102,80.51226230102,0.0
node[101],10.0.18.30,70.003307316064,70.120003836556,0.11669652049199897
node[101],10.0.3.6,94.69610677716,94.69610677716,0.0
node[101],10.0.49.167,55.14814154167,55.14814154167,0.0
node[101],10.0.67.251,70.049198302077,70.084813062441,0.035614760363998244
node[101],10.0.70.35,76.664955403776,76.664955403776,0.0
node[101],10.0.88.188,79.56492595434,79.574290214932,0.009364260592008122
node[101],10.0.89.1,97.073651756252,98.083718222348,1.0100664660959922
node[107],10.0.2.193,56.113596898924,76.689718390053,20.576121491129
node[107],10.0.37.65,52.553836357926,56.134248121259,3.5804117633329966
node[10],10.0.100.83,97.056405526392,97.056405526392,0.0
node[10],10.0.18.30,66.469760793467,68.531085248474,2.0613244550069965
node[10],10.0.38.85,96.97443372066,99.15114853387,2.1767148132099976
node[10],10.0.45.225,91.157367428305,92.176650014795,1.0192825864900072
node[10],10.0.67.44,61.573751911939,61.573751911939,0.0
node[111],10.0.98.250,52.597710954425,52.597710954425,0.0
node[119],10.0.100.83,69.980125456251,69.980125456251,0.0
node[119],10.0.104.163,70.291324265706,70.291324265706,0.0
node[119],10.0.20.139,70.354288157749,70.354288157749,0.0
node[119],10.0.22.110,69.330110949295,82.013111758906,12.683000809611002
node[119],10.0.37.65,69.336249213852,73.70061504692,4.364365833068007
node[119],10.0.68.64,69.98365034889,69.994018351711,0.010368002821010691
node[122],10.0.0.84,80.509797742476,80.509797742476,0.0
node[122],10.0.16.197,87.981269576209,87.981269576209,0.0
node[122],10.0.61.200,74.519633266059,93.215545138994,18.695911872935
node[126],10.0.86.79,70.990416058587,70.990416058587,0.0
node[126],10.0.99.63,94.678095523217,94.678095523217,0.0
node[132],10.0.102.192,52.559038857248,59.014081530635,6.455042673387005
node[132],10.0.45.225,61.565229348915,61.565229348915,0.0
node[132],10.0.7.17,66.476089731016,69.387244242602,2.911154511585991
node[132],10.0.72.213,78.459933804651,78.459933804651,0.0
node[132],10.0.89.139,75.612981298609,91.54624855097,15.933267252361006
node[137],10.0.18.30,69.345514925185,70.120003836556,0.7744889113709945
node[137],10.0.27.141,79.561636928503,79.672837461838,0.11120053333499413
node[137],10.0.35.232,52.55580951482,52.563285105748,0.007475590928002873
node[137],10.0.38.85,70.360531723943,72.018985776656,1.6584540527129974
node[137],10.0.70.242,57.021588401684,57.021588401684,0.0
node[139],10.0.0.9,52.644932090313,56.134248121259,3.489316030946
node[139],10.0.47.58,46.554981999868,93.246536943832,46.691554943964
node[139],10.0.96.3,30.338829666098,30.338829666098,0.0
node[140],10.0.104.25,69.81695391147,69.818645178743,0.0016912672730029499
node[141],10.0.104.232,69.982300760661,80.568268426291,10.585967665629994
node[141],10.0.12.255,70.982634188251,88.232215794594,17.249581606343
node[141],10.0.18.30,96.976597036006,99.129368371997,2.1527713359910052
node[141],10.0.37.65,79.55333255989,79.564566407368,0.011233847478010262
node[141],10.0.65.142,69.34453294403,77.019027315187,7.67449437115701
node[141],10.0.70.242,83.570655082579,83.570655082579,0.0
node[141],10.0.70.35,73.561127563872,74.5663873661,1.0052598022279966
node[141],10.0.89.1,97.055854134468,97.055854134468,0.0
node[141],10.0.98.112,80.507209092087,84.605714499269,4.098505407182003
node[144],10.0.16.128,96.953561084756,96.953561084756,0.0
node[144],10.0.53.40,99.950333004384,99.950333004384,0.0
node[144],10.0.6.204,70.366447364141,70.417283914535,0.050836550394009805
node[144],10.0.78.195,88.71649419708,88.71649419708,0.0
node[144],10.0.8.106,97.06341239831,97.06341239831,0.0
node[144],10.0.89.139,91.164437941802,91.54624855097,0.38181060916799936
node[146],10.0.104.163,91.161558826242,91.161558826242,0.0
node[146],10.0.12.255,79.557298990484,88.232215794594,8.674916804109998
node[146],10.0.37.65,52.553836342296,56.134248121259,3.580411778962997
node[146],10.0.38.85,69.818307492283,72.018985776656,2.200678284372998
node[146],10.0.6.204,56.112996530506,57.020386632375,0.907390101868998
node[146],10.0.72.213,78.459933842997,78.459933842997,0.0
node[146],10.0.84.246,57.024196691535,57.024196691535,0.0
node[148],10.0.16.128,96.953561067496,96.953561067496,0.0
node[148],10.0.2.193,97.06270112863,97.06270112863,0.0
node[148],10.0.98.181,78.172578950405,79.197635248024,1.0250562976190025
node[149],10.0.103.143,93.119468339577,93.119468339577,0.0
node[149],10.0.110.145,91.555064253509,91.555064253509,0.0
node[14],10.0.62.151,55.17664548731,57.149089236149,1.9724437488390052
node[14],10.0.72.144,55.181417608834,55.181417608834,0.0
node[150],10.0.45.156,55.178324251376,55.178324251376,0.0
node[150],10.0.72.144,55.181417273323,55.181417273323,0.0
node[151],10.0.0.9,53.550532295851,56.134248121259,2.5837158254079995
node[151],10.0.100.152,46.550043102811,77.157313915172,30.607270812360994
node[156],10.0.23.130,71.066299545563,71.066299545563,0.0
node[156],10.0.62.13,52.592847672738,52.592847672738,0.0
node[157],10.0.44.67,78.164227849231,78.169596393276,0.0053685440449982025
node[15],10.0.15.246,55.172792181237,55.172792181237,0.0
node[160],10.0.42.165,78.161357864232,78.161357864232,0.0
node[160],10.0.44.67,52.584514158891,77.134952422813,24.550438263922004
node[160],10.0.58.2,74.915371958346,77.916116501374,3.0007445430280058
