Time,Node,Destination,Previous_LifeTime,New_LifeTime,Previous_NextHop,New_NextHop,Previous_HopCount,New_HopCount
46.903535523821,node[32],10.0.10.8,49.523239815748,49.903535523821,10.0.10.8,10.0.10.8,1,1
46.904226054116,node[130],10.0.0.9,49.5216504527,49.904226054116,10.0.0.9,10.0.0.9,1,1
46.904226055845,node[103],10.0.0.9,49.521650454429,49.904226055845,10.0.0.9,10.0.0.9,1,1
46.904226118169,node[36],10.0.0.9,49.521650516753,49.904226118169,10.0.0.9,10.0.0.9,1,1
46.904226294505,node[127],10.0.0.9,49.521650693089,49.904226294505,10.0.0.9,10.0.0.9,1,1
46.904226323702,node[95],10.0.0.9,49.521650722286,49.904226323702,10.0.0.9,10.0.0.9,1,1
46.904226342566,node[32],10.0.0.9,49.52165074115,49.904226342566,10.0.0.9,10.0.0.9,1,1
46.904547918356,node[71],10.0.9.195,49.528826479135,49.904547918356,10.0.9.195,10.0.9.195,1,1
46.904547918356,node[71],10.0.15.108,51.705148726059,52.184547918356,10.0.9.195,10.0.9.195,4,4
46.904547933085,node[70],10.0.9.195,49.528826493864,49.904547933085,10.0.9.195,10.0.9.195,1,1
46.904547933085,node[70],10.0.15.108,51.705148740788,52.184547933085,10.0.9.195,10.0.9.195,4,4
46.904548016268,node[8],10.0.9.195,49.425148823971,49.904548016268,10.0.9.195,10.0.9.195,1,1
46.904548016268,node[8],10.0.15.108,51.705148823971,52.184548016268,10.0.9.195,10.0.9.195,4,4
46.904548072319,node[107],10.0.9.195,48.947842575858,49.904548072319,10.0.9.195,10.0.9.195,1,1
46.904548114769,node[96],10.0.9.195,48.947842603264,49.904548114769,10.0.9.195,10.0.9.195,1,1
46.904548131817,node[6],10.0.9.195,48.947842643981,49.904548131817,10.0.9.195,10.0.9.195,1,1
46.904548150665,node[64],10.0.9.195,48.947842635471,49.904548150665,10.0.9.195,10.0.9.195,1,1
46.904548161853,node[10],10.0.9.195,48.947842623074,49.904548161853,10.0.9.195,10.0.9.195,1,1
