destination = 10.0.3.6, prefixLength = 32, nextHop = 10.0.3.6, metric = 1, interface = wlan0
destination = 10.0.3.6, prefixLength = 32, nextHop = 10.0.3.6, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.6, metric = 4, interface = wlan0
destination = 10.0.3.6, prefixLength = 32, nextHop = 10.0.3.6, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.6, metric = 4, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.28.230, prefixLength = 32, nextHop = 10.0.28.230, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.168, prefixLength = 32, nextHop = 10.0.18.168, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.1.104, metric = 5, interface = wlan0
destination = 10.0.1.104, prefixLength = 32, nextHop = 10.0.1.104, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
