localCbr	cdf
0.0	2.1558554110892892e-6
0.0	4.3117108221785785e-6
0.0	6.467566233267867e-6
0.0	8.623421644357157e-6
0.0	0.000010779277055446445
0.0	0.000012935132466535734
0.0	0.000015090987877625024
0.0	0.000017246843288714314
0.0	0.000019402698699803602
0.0	0.00002155855411089289
0.0	0.00002371440952198218
0.0	0.000025870264933071468
0.0	0.00002802612034416076
0.0	0.000030181975755250048
0.0	0.00003233783116633933
0.0	0.00003449368657742863
0.0	0.000036649541988517916
0.0	0.000038805397399607205
0.0	0.00004096125281069649
0.0	0.00004311710822178578
0.0	0.00004527296363287507
0.0	0.00004742881904396436
0.0	0.00004958467445505365
0.0	0.000051740529866142935
0.0	0.000053896385277232224
0.0	0.00005605224068832152
0.0	0.00005820809609941081
0.0	0.000060363951510500096
0.0	0.00006251980692158938
0.0	0.00006467566233267867
0.0	0.00006683151774376797
0.0	0.00006898737315485726
0.0	0.00007114322856594654
0.0	0.00007329908397703583
0.0	0.00007545493938812512
0.0	0.00007761079479921441
0.0	0.0000797666502103037
0.0	0.00008192250562139299
0.0	0.00008407836103248227
0.0	0.00008623421644357156
0.0	0.00008839007185466085
0.0	0.00009054592726575014
0.0	0.00009270178267683943
0.0	0.00009485763808792872
0.0	0.000097013493499018
0.0	0.0000991693489101073
0.0	0.00010132520432119658
0.0	0.00010348105973228587
0.0	0.00010563691514337516
0.0	0.00010779277055446445
0.0	0.00010994862596555374
0.0	0.00011210448137664304
0.0	0.00011426033678773233
0.0	0.00011641619219882161
0.0	0.0001185720476099109
0.0	0.00012072790302100019
0.0	0.00012288375843208947
0.0	0.00012503961384317875
0.0	0.00012719546925426804
0.0	0.00012935132466535733
0.0	0.00013150718007644662
0.0	0.00013366303548753594
0.0	0.00013581889089862522
0.0	0.0001379747463097145
0.0	0.0001401306017208038
0.0	0.0001422864571318931
0.0	0.00014444231254298238
0.0	0.00014659816795407167
0.0	0.00014875402336516095
0.0	0.00015090987877625024
0.0	0.00015306573418733953
0.0	0.00015522158959842882
0.0	0.0001573774450095181
0.0	0.0001595333004206074
0.0	0.00016168915583169668
0.0	0.00016384501124278597
0.0	0.00016600086665387526
0.0	0.00016815672206496455
0.0	0.00017031257747605384
0.0	0.00017246843288714313
0.0	0.00017462428829823241
0.0	0.0001767801437093217
0.0	0.000178935999120411
0.0	0.00018109185453150028
0.0	0.00018324770994258957
0.0	0.00018540356535367886
0.0	0.00018755942076476815
0.0	0.00018971527617585743
0.0	0.00019187113158694672
0.0	0.000194026986998036
0.0	0.0001961828424091253
0.0	0.0001983386978202146
0.0	0.00020049455323130388
0.0	0.00020265040864239316
0.0	0.00020480626405348245
0.0	0.00020696211946457174
0.0	0.00020911797487566103
0.0	0.00021127383028675032
0.0	0.0002134296856978396
0.0	0.0002155855411089289
0.0	0.00021774139652001818
0.0	0.00021989725193110747
0.0	0.0002220531073421968
0.0	0.00022420896275328608
0.0	0.00022636481816437536
0.0	0.00022852067357546465
0.0	0.00023067652898655394
0.0	0.00023283238439764323
0.0	0.00023498823980873252
0.0	0.0002371440952198218
0.0	0.0002392999506309111
0.0	0.00024145580604200038
0.0	0.00024361166145308967
0.0	0.00024576751686417893
0.0	0.0002479233722752682
0.0	0.0002500792276863575
0.0	0.0002522350830974468
0.0	0.0002543909385085361
0.0	0.0002565467939196254
0.0	0.00025870264933071466
0.0	0.00026085850474180395
0.0	0.00026301436015289324
0.0	0.0002651702155639826
0.0	0.00026732607097507187
0.0	0.00026948192638616116
0.0	0.00027163778179725045
0.0	0.00027379363720833974
0.0	0.000275949492619429
0.0	0.0002781053480305183
0.0	0.0002802612034416076
0.0	0.0002824170588526969
0.0	0.0002845729142637862
0.0	0.00028672876967487547
0.0	0.00028888462508596475
0.0	0.00029104048049705404
0.0	0.00029319633590814333
0.0	0.0002953521913192326
0.0	0.0002975080467303219
0.0	0.0002996639021414112
0.0	0.0003018197575525005
0.0	0.0003039756129635898
0.0	0.00030613146837467906
0.0	0.00030828732378576835
0.0	0.00031044317919685764
0.0	0.0003125990346079469
0.0	0.0003147548900190362
0.0	0.0003169107454301255
0.0	0.0003190666008412148
0.0	0.0003212224562523041
0.0	0.00032337831166339337
0.0	0.00032553416707448266
0.0	0.00032769002248557195
0.0	0.00032984587789666123
0.0	0.0003320017333077505
0.0	0.0003341575887188398
0.0	0.0003363134441299291
0.0	0.0003384692995410184
0.0	0.0003406251549521077
0.0	0.00034278101036319696
0.0	0.00034493686577428625
0.0	0.00034709272118537554
0.0	0.00034924857659646483
0.0	0.0003514044320075541
0.0	0.0003535602874186434
0.0	0.0003557161428297327
0.0	0.000357871998240822
0.0	0.00036002785365191127
0.0	0.00036218370906300056
0.0	0.00036433956447408985
0.0	0.00036649541988517914
0.0	0.0003686512752962684
0.0	0.0003708071307073577
0.0	0.000372962986118447
0.0	0.0003751188415295363
0.0	0.0003772746969406256
0.0	0.00037943055235171487
0.0	0.00038158640776280416
0.0	0.00038374226317389344
0.0	0.00038589811858498273
0.0	0.000388053973996072
0.0	0.0003902098294071613
0.0	0.0003923656848182506
0.0	0.0003945215402293399
0.0	0.0003966773956404292
0.0	0.00039883325105151846
0.0	0.00040098910646260775
0.0	0.00040314496187369704
0.0	0.00040530081728478633
0.0	0.0004074566726958756
0.0	0.0004096125281069649
0.0	0.0004117683835180542
0.0	0.0004139242389291435
0.0	0.00041608009434023277
0.0	0.00041823594975132206
0.0	0.00042039180516241135
0.0	0.00042254766057350064
0.0	0.0004247035159845899
0.0	0.0004268593713956792
0.0	0.0004290152268067685
0.0	0.0004311710822178578
0.0	0.0004333269376289471
0.0	0.00043548279304003637
0.0	0.00043763864845112565
0.0	0.00043979450386221494
0.0	0.0004419503592733043
0.0	0.0004441062146843936
0.0	0.00044626207009548286
0.0	0.00044841792550657215
0.0	0.00045057378091766144
0.0	0.00045272963632875073
0.0	0.00045488549173984
0.0	0.0004570413471509293
0.0	0.0004591972025620186
0.0	0.0004613530579731079
0.0	0.00046350891338419717
0.0	0.00046566476879528646
0.0	0.00046782062420637575
0.0	0.00046997647961746503
0.0	0.0004721323350285543
0.0	0.0004742881904396436
0.0	0.0004764440458507329
0.0	0.0004785999012618222
0.0	0.0004807557566729115
0.0	0.00048291161208400076
0.0	0.00048506746749509005
0.0	0.00048722332290617934
0.0	0.0004893791783172686
