Node,PDR,RREQ_Count,LinkBreak_Count,AvgSpeed,AvgDensity
0,55.0725,155574,456,5.962622289071438,0.000759184863473331
4,81.0145,55593,158,5.19621175327829,0.0006616024479700682
6,68.9855,48366,171,4.138795848323202,0.0005269679916883762
7,91.0145,40571,84,12.578294841142688,0.0016015184809346575
9,8.98551,588224,1670,8.794090346534654,0.0011196985784021054
10,45.5072,59830,71,5.8398796590339295,0.0007435567943840883
11,43.3333,241873,599,9.660263857478926,0.0012299832242623195
17,36.6667,246812,505,7.551302205727437,0.0009614619459264539
19,16.087,421769,1157,8.34505618004168,0.001062525789287501
20,55.6522,189763,552,11.595458545659586,0.001476379869342285
