a,b,,a,b,,a,b,,a,b,,a,b,,a,b,,a,b
57.1698,88.8679,,46.9811,96.9811,,63.2075,84.5283,,97.5472,99.2453,,98.8679,96.0377,,67.3585,95.8491,,91.3208,97.3585
60.1852,89.0741,,47.963,97.037,,62.037,83.5185,,99.0741,99.2593,,98.7037,99.6296,,67.963,95.9259,,89.6296,97.4074
60.9091,89.2727,,48.9091,96.9091,,60.9091,84,,99.0909,99.2727,,98.7273,99.6364,,68.5455,94.1818,,88,97.4545
61.6071,89.4643,,48.0357,96.9643,,61.4286,86.4286,,99.1071,99.2857,,98.75,99.6429,,69.1071,92.5,,86.4286,97.5
62.1053,89.6491,,49.4737,97.0175,,62.1053,84.9123,,99.1228,97.5439,,98.7719,99.6491,,69.6491,95.9649,,84.9123,97.5439
62.7586,89.8276,,48.6207,97.069,,62.7586,86.7241,,99.1379,99.1379,,98.6207,99.6552,,70.1724,96.0345,,83.4483,97.5862
63.3898,90,,52.2034,95.4237,,63.3898,86.9492,,97.4576,97.4576,,98.4746,99.661,,70.678,96.1017,,82.0339,97.6271
64,90.1667,,53,94.5,,64,87.1667,,95.8333,99,,96.8333,99.6667,,71.1667,96.1667,,82.1667,97.6667
64.5902,90.3279,,53.7705,97.0492,,64.5902,87.377,,94.2623,99.0164,,95.2459,99.5082,,71.6393,96.2295,,82.459,97.7049
65.1613,90.4839,,54.5161,97.0968,,65.1613,87.5806,,92.7419,99.0323,,98.3871,99.5161,,72.0968,96.2903,,82.7419,97.7419
65.7143,90.6349,,55.2381,95.5556,,64.127,86.1905,,91.2698,99.0476,,96.8254,99.5238,,72.5397,96.3492,,83.0159,97.7778
66.25,90.7812,,55.9375,97.0312,,66.0938,84.8438,,89.8438,97.5,,95.3125,99.5312,,72.9688,96.4062,,83.2812,97.8125
66.7692,90.9231,,56.6154,97.0769,,66.6154,83.5385,,88.4615,96,,93.8462,99.5385,,73.3846,96.4615,,83.5385,97.8462
67.2727,89.5455,,55.7576,97.1212,,67.1212,83.6364,,87.1212,94.5455,,92.4242,99.5455,,72.2727,95,,83.6364,97.8788
67.6119,91.0448,,57.3134,97.1642,,67.6119,83.8806,,85.8209,93.1343,,91.0448,99.5522,,74.0299,94.9254,,83.8806,97.9104
68.0882,91.1765,,58.2353,97.2059,,68.0882,84.1176,,84.5588,96.0294,,89.7059,99.4118,,72.9412,95.7353,,84.1176,97.9412
68.5507,91.3043,,58.8406,97.2464,,68.5507,84.3478,,83.3333,96.087,,88.4058,99.4203,,72.7536,95.5072,,84.3478,97.971
