Time: 49.286464920662, Node: node[97], myRouteTimeout: 3.537094575475, deletePeriod: 7.074189150951
Time: 49.290095753226, Node: node[61], myRouteTimeout: 3.441884382108, deletePeriod: 6.883768764215
Time: 49.291474582025, Node: node[24], myRouteTimeout: 1.371146432655, deletePeriod: 2.742292865311
Time: 49.291821597528, Node: node[61], myRouteTimeout: 3.441210481477, deletePeriod: 6.882420962953
Time: 49.29245529301, Node: node[134], myRouteTimeout: 3.412088380161, deletePeriod: 6.824176760322
Time: 49.292952390475, Node: node[74], myRouteTimeout: 1.291901807109, deletePeriod: 2.583803614219
Time: 49.293661913792, Node: node[61], myRouteTimeout: 4.508407674035, deletePeriod: 9.01681534807
Time: 49.295022343104, Node: node[77], myRouteTimeout: 3.1660519808, deletePeriod: 6.3321039616
Time: 49.29737891621, Node: node[69], myRouteTimeout: 3.435742444615, deletePeriod: 6.87148488923
Time: 49.297622859949, Node: node[24], myRouteTimeout: 1.367466561225, deletePeriod: 2.734933122449
Time: 49.298597300447, Node: node[74], myRouteTimeout: 1.28943863761, deletePeriod: 2.57887727522
Time: 49.301715348317, Node: node[77], myRouteTimeout: 4.270124122926, deletePeriod: 8.540248245852
Time: 49.922389584886, Node: node[118], myRouteTimeout: 3.527440960764, deletePeriod: 7.054881921528
Time: 50.133607854209, Node: node[93], myRouteTimeout: 3.269327618478, deletePeriod: 6.538655236955
Time: 50.134144145955, Node: node[93], myRouteTimeout: 3.253066987942, deletePeriod: 6.506133975885
Time: 50.134400623989, Node: node[93], myRouteTimeout: 3.237217058056, deletePeriod: 6.474434116113
Time: 50.135540448305, Node: node[93], myRouteTimeout: 3.221762463128, deletePeriod: 6.443524926255
Time: 50.14430279761, Node: node[93], myRouteTimeout: 3.206688594529, deletePeriod: 6.413377189058
Time: 50.145705414326, Node: node[93], myRouteTimeout: 3.191981554639, deletePeriod: 6.383963109278
Time: 50.169521192007, Node: node[105], myRouteTimeout: 3.457809954752, deletePeriod: 6.915619909503
Time: 50.252893442419, Node: node[49], myRouteTimeout: 2.126563292469, deletePeriod: 4.253126584937
Time: 50.253806022651, Node: node[49], myRouteTimeout: 2.52403925732, deletePeriod: 5.04807851464
Time: 50.264929565541, Node: node[52], myRouteTimeout: 3.772355304813, deletePeriod: 7.544710609625
Time: 50.274025361687, Node: node[22], myRouteTimeout: 3.272673538037, deletePeriod: 6.545347076073
Time: 50.275001202489, Node: node[22], myRouteTimeout: 3.258215306439, deletePeriod: 6.516430612878
Time: 50.277599615526, Node: node[22], myRouteTimeout: 3.244081385776, deletePeriod: 6.488162771552
Time: 50.286451862929, Node: node[105], myRouteTimeout: 3.375044443066, deletePeriod: 6.750088886131
Time: 50.458816917644, Node: node[85], myRouteTimeout: 3.279700405867, deletePeriod: 6.559400811734
Time: 50.467839649394, Node: node[125], myRouteTimeout: 3.340717701014, deletePeriod: 6.681435402029
Time: 50.469182782243, Node: node[96], myRouteTimeout: 3.259149100847, deletePeriod: 6.518298201693
Time: 50.47057149774, Node: node[85], myRouteTimeout: 3.237971032609, deletePeriod: 6.475942065218
Time: 50.470861147163, Node: node[125], myRouteTimeout: 3.299888757652, deletePeriod: 6.599777515303
Time: 50.472042003262, Node: node[61], myRouteTimeout: 3.080715557939, deletePeriod: 6.161431115877
Time: 50.473455596999, Node: node[97], myRouteTimeout: 3.174115549492, deletePeriod: 6.348231098985
Time: 50.474637744943, Node: node[97], myRouteTimeout: 3.162133415006, deletePeriod: 6.324266830012
Time: 50.475329938843, Node: node[24], myRouteTimeout: 1.330166597388, deletePeriod: 2.660333194776
Time: 50.477213545688, Node: node[96], myRouteTimeout: 3.202189654994, deletePeriod: 6.404379309988
Time: 50.479314164244, Node: node[96], myRouteTimeout: 3.190285108131, deletePeriod: 6.380570216263
Time: 50.479597065162, Node: node[125], myRouteTimeout: 3.245824928685, deletePeriod: 6.49164985737
