Node,PDR,RREQ_Count,LinkBreak_Count,AvgSpeed,AvgDensity
0,45.0725,156791,138,6.599281846534558,0.0008402469544552941
4,76.6667,29393,12,5.753614806246385,0.000732573293641343
6,88.2609,62221,49,4.233731376866332,0.0005390555956349141
9,26.087,92245,115,3.6506910943682582,0.00046482056360778356
10,88.2609,62221,49,4.233731376866332,0.0005390555956349141
11,88.4058,52756,48,5.789957540374554,0.0007372006156266585
17,52.029,171048,120,6.904091249239979,0.0008790564918970115
22,62.1739,44362,26,4.520738469861593,0.000575598498534782
29,73.1884,118617,137,5.340246339057639,0.0006799415438596493
